# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0.750005		4		4000.0		N0034.16		54.0230		49.8860		-0.7500		0.444708		0.006671		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0034.17		54.0810		49.4440		-0.7500		0.445789		0.006687		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0034.18		54.1000		49.0000		-0.7500		0.444406		0.006666		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0036		54.1000		-49.0000		-0.7500		98.000000		1.225000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.750005		4		4000.0		N0038.1		54.0810		-49.4440		-0.7500		0.444406		0.006666		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.2		54.0230		-49.8860		-0.7500		0.445789		0.006687		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.3		53.9260		-50.3200		-0.7500		0.444708		0.006671		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.4		53.7920		-50.7440		-0.7500		0.444671		0.006670		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.5		53.6220		-51.1550		-0.7500		0.444771		0.006672		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.6		53.4170		-51.5500		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.7		53.1780		-51.9250		-0.7500		0.444686		0.006670		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.8		52.9070		-52.2780		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.9		52.6060		-52.6060		-0.7500		0.445180		0.006678		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.10		52.2780		-52.9070		-0.7500		0.445180		0.006678		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.11		51.9250		-53.1780		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.12		51.5500		-53.4170		-0.7500		0.444686		0.006670		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.13		51.1550		-53.6220		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0038.14		50.7440		-53.7920		-0.7500		0.444771		0.006672		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
