# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0.999997		2.65155		6500.0		N0110.15		40.5800		40.1550		-1.0000		0.052498		0.000485		2.651542		287.250388		6000.0		1.000000		287.250388		180484.741891
0.999997		2.2828		6500.0		N0110.16		40.5910		40.1040		-1.0000		0.052173		0.000482		2.282793		247.302591		6000.0		1.000000		247.302591		155384.800886
0.999997		2.99605		6500.0		N0110.17		40.5980		40.0520		-1.0000		0.052469		0.000484		2.996041		324.571110		6000.0		1.000000		324.571110		203934.042708
0.999997		0		6500.0		N0110.18		40.6000		40.0000		-1.0000		0.052038		0.000480		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
1		7.5		6500.0		N0120		40.6000		-40.0000		-1.0000		80.000000		1.000000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		3.26297		6500.0		N0130.1		40.5980		-40.0520		-1.0000		0.052038		0.000480		3.262960		353.487356		6000.0		1.000000		353.487356		222102.656276
0.999997		0		6500.0		N0130.2		40.5910		-40.1040		-1.0000		0.052469		0.000484		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		2.4323		6500.0		N0130.3		40.5800		-40.1550		-1.0000		0.052173		0.000482		2.432293		263.498376		6000.0		1.000000		263.498376		165560.912561
0.999997		0		6500.0		N0130.4		40.5640		-40.2050		-1.0000		0.052498		0.000485		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		3.54845		6500.0		N0130.5		40.5440		-40.2540		-1.0000		0.052924		0.000489		3.548439		384.414263		6000.0		1.000000		384.414263		241534.605179
0.999997		2.92573		6500.0		N0130.6		40.5200		-40.3000		-1.0000		0.051884		0.000479		2.925721		316.953132		6000.0		1.000000		316.953132		199147.526501
0.999997		4.08181		6500.0		N0130.7		40.4910		-40.3440		-1.0000		0.052697		0.000486		4.081798		442.194757		6000.0		1.000000		442.194757		277839.159849
0.999997		3.12634		6500.0		N0130.8		40.4600		-40.3860		-1.0000		0.052202		0.000482		3.126331		338.685817		6000.0		1.000000		338.685817		212802.575084
0.999997		4.63081		6500.0		N0130.9		40.4240		-40.4240		-1.0000		0.052345		0.000483		4.630796		501.669578		6000.0		1.000000		501.669578		315208.292356
0.999997		1.50158		6500.0		N0130.10		40.3860		-40.4600		-1.0000		0.052345		0.000483		1.501575		162.670679		6000.0		1.000000		162.670679		102209.001802
0.999997		0.597684		6500.0		N0130.11		40.3440		-40.4910		-1.0000		0.052202		0.000482		0.597682		64.748906		6000.0		1.000000		64.748906		40682.937328
0.999997		2.83506		6500.0		N0130.12		40.3000		-40.5200		-1.0000		0.052697		0.000486		2.835051		307.130579		6000.0		1.000000		307.130579		192975.833888
0.999997		2.59037		6500.0		N0130.13		40.2540		-40.5440		-1.0000		0.051884		0.000479		2.590362		280.622575		6000.0		1.000000		280.622575		176320.363882
0.999997		1.67786		6500.0		N0130.14		40.2050		-40.5640		-1.0000		0.052924		0.000489		1.677855		181.767621		6000.0		1.000000		181.767621		114207.964786
0.999997		3.7716		6500.0		N0130.15		40.1550		-40.5800		-1.0000		0.052498		0.000485		3.771589		408.588774		6000.0		1.000000		408.588774		256723.898292
0.999997		1.17303		6500.0		N0130.16		40.1040		-40.5910		-1.0000		0.052173		0.000482		1.173026		127.077869		6000.0		1.000000		127.077869		79845.379789
0.999997		4.22535		6500.0		N0130.17		40.0520		-40.5980		-1.0000		0.052469		0.000484		4.225337		457.744877		6000.0		1.000000		457.744877		287609.588410
0.999997		2.47894		6500.0		N0130.18		40.0000		-40.6000		-1.0000		0.052038		0.000480		2.478933		268.551028		6000.0		1.000000		268.551028		168735.587133
1		7.5		6500.0		N0140		-40.0000		-40.6000		-1.0000		80.000000		1.000000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		5.99557		6500.0		N0150.1		-40.0520		-40.5980		-1.0000		0.052038		0.000480		5.995552		649.518135		6000.0		1.000000		649.518135		408104.280115
0.999997		4.75709		6500.0		N0150.2		-40.1040		-40.5910		-1.0000		0.052469		0.000484		4.757076		515.349871		6000.0		1.000000		515.349871		323803.873509
0.999997		0		6500.0		N0150.3		-40.1550		-40.5800		-1.0000		0.052173		0.000482		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		5.70312		6500.0		N0150.4		-40.2050		-40.5640		-1.0000		0.052498		0.000485		5.703103		617.836146		6000.0		1.000000		617.836146		388197.899785
0.999997		2.27305		6500.0		N0150.5		-40.2540		-40.5440		-1.0000		0.052924		0.000489		2.273043		246.246345		6000.0		1.000000		246.246345		154721.141429
0.999997		3.61958		6500.0		N0150.6		-40.3000		-40.5200		-1.0000		0.051884		0.000479		3.619569		392.119990		6000.0		1.000000		392.119990		246376.256172
0.999997		2.4081		6500.0		N0150.7		-40.3440		-40.4910		-1.0000		0.052697		0.000486		2.408093		260.876717		6000.0		1.000000		260.876717		163913.675755
0.999997		0		6500.0		N0150.8		-40.3860		-40.4600		-1.0000		0.052202		0.000482		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		0.630433		6500.0		N0150.9		-40.4240		-40.4240		-1.0000		0.052345		0.000483		0.630431		68.296703		6000.0		1.000000		68.296703		42912.084360
0.999997		3.95453		6500.0		N0150.10		-40.4600		-40.3860		-1.0000		0.052345		0.000483		3.954518		428.406131		6000.0		1.000000		428.406131		269175.511060
0.999997		5.50559		6500.0		N0150.11		-40.4910		-40.3440		-1.0000		0.052202		0.000482		5.505573		596.437127		6000.0		1.000000		596.437127		374752.499522
0.999997		4.73649		6500.0		N0150.12		-40.5200		-40.3000		-1.0000		0.052697		0.000486		4.736476		513.118211		6000.0		1.000000		513.118211		322401.680194
0.999997		0		6500.0		N0150.13		-40.5440		-40.2540		-1.0000		0.051884		0.000479		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		3.53145		6500.0		N0150.14		-40.5640		-40.2050		-1.0000		0.052924		0.000489		3.531439		382.572602		6000.0		1.000000		382.572602		240377.455357
0.999997		3.48587		6500.0		N0150.15		-40.5800		-40.1550		-1.0000		0.052498		0.000485		3.485860		377.634784		6000.0		1.000000		377.634784		237274.932479
0.999997		0		6500.0		N0150.16		-40.5910		-40.1040		-1.0000		0.052173		0.000482		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		1.2293		6500.0		N0150.17		-40.5980		-40.0520		-1.0000		0.052469		0.000484		1.229296		133.173767		6000.0		1.000000		133.173767		83675.545702
0.999997		0		6500.0		N0150.18		-40.6000		-40.0000		-1.0000		0.052038		0.000480		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
1		7.5		6500.0		N0160		-40.6000		0.0000		-1.0000		40.000000		0.500000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0170		-35.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0180		-35.6000		35.6000		-1.0000		35.600000		0.445000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0190		35.6000		35.6000		-1.0000		71.200000		0.890000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0200		35.6000		-35.6000		-1.0000		71.200000		0.890000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0210		-35.6000		-35.6000		-1.0000		71.200000		0.890000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0220		-35.6000		0.0000		-1.0000		35.600000		0.445000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0230		-30.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.2		6500.0		N0240		-30.6000		30.6000		-1.0000		30.600000		0.382500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0250		30.6000		30.6000		-1.0000		61.200000		0.765000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0260		30.6000		-30.6000		-1.0000		61.200000		0.765000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0270		-30.6000		-30.6000		-1.0000		61.200000		0.765000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.2		6500.0		N0280		-30.6000		0.0000		-1.0000		30.600000		0.382500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0290		-25.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0300		-25.6000		25.6000		-1.0000		25.600000		0.320000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0310		25.6000		25.6000		-1.0000		51.200000		0.640000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0320		25.6000		-25.6000		-1.0000		51.200000		0.640000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0330		-25.6000		-25.6000		-1.0000		51.200000		0.640000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0340		-25.6000		0.0000		-1.0000		25.600000		0.320000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0350		-20.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0360		-20.6000		20.6000		-1.0000		20.600000		0.257500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0370		20.6000		20.6000		-1.0000		41.200000		0.515000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0380		20.6000		-20.6000		-1.0000		41.200000		0.515000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
