# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
8		0		6500.0		N0		-56.6640		17.2820		-8.0000		0.079057		0.000730		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		0.554576		6500.0		N0		-56.6260		17.2140		-8.0000		0.077897		0.000719		4.436608		480.632533		10000.0		0.600000		288.379520		301990.327159
0		0		6500.0		N0		-56.5940		17.1420		-8.0000		0.078791		0.000727		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		0.860337		6500.0		N0		-56.5690		17.0680		-8.0000		0.078109		0.000721		6.882696		745.625400		10000.0		0.600000		447.375240		468490.255794
8		0		6500.0		N0		-56.5510		16.9910		-8.0000		0.079076		0.000730		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		0		6500.0		N0		-56.5410		16.9130		-8.0000		0.078638		0.000726		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		0		6500.0		N0		-56.5370		16.8350		-8.0000		0.078102		0.000721		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		7.5		6500.0		N0		-56.5370		5.8350		-8.0000		11.000000		0.137500		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
8		3.90895		6500.0		N0		-56.5400		5.7610		-8.0000		0.074061		0.000684		31.271600		3387.756667		10000.0		0.600000		2032.654000		2128590.291230
8		6.28343		6500.0		N0		-56.5500		5.6870		-8.0000		0.074673		0.000689		50.267440		5445.639333		10000.0		0.600000		3267.383600		3421596.104740
8		3.41665		6500.0		N0		-56.5660		5.6150		-8.0000		0.073756		0.000681		27.333200		2961.096667		10000.0		0.600000		1776.658000		1860511.906914
8		4.4356		6500.0		N0		-56.5880		5.5440		-8.0000		0.074330		0.000686		35.484800		3844.186667		10000.0		0.600000		2306.512000		2415373.718206
8		2.64184		6500.0		N0		-56.6170		5.4760		-8.0000		0.073926		0.000682		21.134720		2289.594667		10000.0		0.600000		1373.756800		1438594.756900
8		4.96209		6500.0		N0		-56.6510		5.4100		-8.0000		0.074243		0.000685		39.696720		4300.478000		10000.0		0.600000		2580.286800		2702070.018345
8		4.14468		6500.0		N0		-56.6910		5.3470		-8.0000		0.074626		0.000689		33.157440		3592.056000		10000.0		0.600000		2155.233600		2256955.348177
